Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.727746085736592e9""], [""1.727746085736864e9""]]","[[""1.727746095016285e9""], [""1.727746100069436e9""]]","[[9.279692888259888], [10.0]]",10.0,0.26321887969970703,10.263218879699707,"[0.5175, 0.514585, 0.97768, 0.96125, 0.89824, 0.6220600000000001, 0.5175, 0.514585, 0.5175, 0.514585, 0.9775900000000001, 0.96125, 0.82705, 0.64545, 0.5175, 0.514585, 0.5175, 0.514585, 0.977665, 0.96125, 0.914705, 0.560465, 0.5175, 0.514585]","[[0.5025, 0.505415, 0.042320000000000024, 0.05875000000000008, 0.12176000000000009, 0.39794000000000007, 0.5025, 0.505415, 0.5025, 0.505415, 0.04241000000000006, 0.05875000000000008, 0.19294999999999995, 0.37455, 0.5025, 0.505415, 0.5025, 0.505415, 0.04233500000000001, 0.05875000000000008, 0.10529500000000003, 0.45953499999999997, 0.5025, 0.505415], [0.48250000000000004, 0.48541500000000004, 0.022320000000000007, 0.03874999999999995, 0.10175999999999996, 0.37793999999999994, 0.48250000000000004, 0.48541500000000004, 0.48250000000000004, 0.48541500000000004, 0.02240999999999993, 0.03874999999999995, 0.17295000000000005, 0.35455000000000003, 0.48250000000000004, 0.48541500000000004, 0.48250000000000004, 0.48541500000000004, 0.022334999999999994, 0.03874999999999995, 0.08529500000000001, 0.439535, 0.48250000000000004, 0.48541500000000004]]","[[1], Int64[]]",1
2,"[[""1.727746100333117e9""], [""1.727746100333285e9""]]","[[""1.727746100462783e9""], [""1.727746100595374e9""]]","[[0.12966609001159668], [0.2620890140533447]]",0.2620890140533447,0.004168987274169922,0.26625800132751465,"[0.015000000000000097, 0.009170000000000067, 0.9676799999999999, 0.9479449999999999, 0.39771499999999993, 0.15692999999999996, 0.015000000000000097, 5.551115123125783e-17, 0.015000000000000097, 0.009170000000000067, 0.9675899999999998, 0.9467999999999999, 0.32414500000000007, 0.18075500000000005, 0.015000000000000097, 5.551115123125783e-17, 0.015000000000000097, 0.009170000000000067, 0.96827, 0.9495649999999999, 0.419485, 0.08034, 0.015000000000000097, 5.551115123125783e-17]","[[9.71445146547012e-17, 6.765421556309548e-17, 0.032319999999999904, 0.04544499999999996, 0.39271500000000004, 0.06443000000000004, 9.71445146547012e-17, 0.009169999999999944, 9.71445146547012e-17, 6.765421556309548e-17, 0.03240999999999983, 0.044299999999999895, 0.31914499999999996, 0.08825499999999997, 9.71445146547012e-17, 0.009169999999999944, 9.71445146547012e-17, 6.765421556309548e-17, 0.03293999999999997, 0.04706499999999991, 0.404485, 0.014510000000000009, 9.71445146547012e-17, 0.009169999999999944], [9.71445146547012e-17, 6.765421556309548e-17, 0.032320000000000126, 0.04544500000000007, 0.3927149999999999, 0.06442999999999996, 9.71445146547012e-17, 0.009170000000000055, 9.71445146547012e-17, 6.765421556309548e-17, 0.03241000000000016, 0.04430000000000012, 0.31914500000000007, 0.08825500000000006, 9.71445146547012e-17, 0.009170000000000055, 9.71445146547012e-17, 6.765421556309548e-17, 0.03293999999999997, 0.047065000000000135, 0.404485, 0.014509999999999995, 9.71445146547012e-17, 0.009170000000000055]]","[[2], [1]]",2
3,"[[""1.727746100599918e9""], [""1.727746100600061e9""]]","[[""1.727746100677748e9""], [""1.727746100815246e9""]]","[[0.07783007621765137], [0.21518516540527344]]",0.21518516540527344,0.004872798919677734,0.22005796432495117,"[0.015000000000000013, 0.0, 0.94277, 0.924555, 0.04389500000000002, 0.21651, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9428250000000001, 0.9242750000000001, 0.07463500000000002, 0.21481, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.948485, 0.9288000000000001, 0.052330000000000015, 0.23028, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022055000000000047, 0.038894999999999985, 0.16068000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007645000000000124, 0.0217750000000001, 0.06963499999999999, 0.15898, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.0263000000000001, 0.03732999999999999, 0.16445, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022054999999999936, 0.03889500000000002, 0.16068000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007644999999999902, 0.021774999999999878, 0.06963500000000002, 0.15898, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.02629999999999988, 0.037330000000000016, 0.16445, 1.3877787807814457e-17, 0.00917]]","[[3], [2]]",3
4,"[[""1.727746100820589e9""], [""1.727746100820735e9""]]","[[""1.727746100902803e9""], [""1.727746101065612e9""]]","[[0.0822138786315918], [0.24487709999084473]]",0.24487709999084473,0.005585908889770508,0.25046300888061523,"[0.015000000000000013, 0.0, 0.9351450000000001, 0.9212149999999999, -0.14298000000000002, 0.19976, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9414, 0.9292699999999999, -0.06962500000000002, 0.17765999999999998, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.94451, 0.9284899999999999, -0.14540000000000003, 0.25551999999999997, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0173549999999999, 0.0069950000000000845, 0.14797999999999997, 0.14393, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019440000000000013, 0.011720000000000064, 0.07462499999999997, 0.12183, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005510000000000015, 0.0039599999999999635, 0.1604, 0.18969000000000003, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.01735500000000012, 0.0069949999999998624, 0.14798000000000003, 0.14393, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019440000000000013, 0.011719999999999953, 0.07462500000000002, 0.12183, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005510000000000015, 0.003960000000000075, 0.16040000000000004, 0.18968999999999997, 1.3877787807814457e-17, 0.00917]]","[[4], [3]]",4
5,"[[""1.72774610107173e9""], [""1.727746101071878e9""]]","[[""1.7277461011678e9""], [""1.727746101305127e9""]]","[[0.0960700511932373], [0.23324894905090332]]",0.23324894905090332,0.006476163864135742,0.23972511291503906,"[0.015000000000000013, 0.0, 0.9580949999999999, 0.9489050000000001, -0.16105999999999998, 0.148095, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9669300000000001, 0.959225, -0.09868, 0.124955, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9609650000000001, 0.9507399999999999, -0.1634, 0.191925, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.018955000000000055, 0.016124999999999945, 0.16606000000000004, 0.055595000000000006, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01845999999999992, 0.018584999999999963, 0.10368000000000001, 0.032455, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.015084999999999904, 0.012840000000000074, 0.1784, 0.10109499999999999, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.018954999999999944, 0.016125000000000056, 0.16605999999999999, 0.055595000000000006, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.018460000000000032, 0.018584999999999963, 0.10368000000000001, 0.032455, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.015085000000000015, 0.012839999999999963, 0.1784, 0.10109500000000002, 1.3877787807814457e-17, 0.00917]]","[[5], [4]]",5
6,"[[""1.727746101312189e9""], [""1.727746101312337e9""]]","[[""1.727746101392714e9""], [""1.727746101545107e9""]]","[[0.08052492141723633], [0.23276996612548828]]",0.23276996612548828,0.007743120193481445,0.24051308631896973,"[0.015000000000000013, 0.0, 0.9766400000000001, 0.971015, -0.08537, 0.096195, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.986265, 0.9813000000000001, -0.06149999999999999, 0.082035, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9729349999999999, 0.9654500000000001, -0.08298000000000001, 0.11896, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.014449999999999963, 0.01507500000000006, 0.09037, 0.003695000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0090650000000001, 0.01142999999999994, 0.0665, 0.010465000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.017245000000000066, 0.019319999999999893, 0.09798, 0.016460000000000016, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.014450000000000074, 0.01507499999999995, 0.09037, 0.003695000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00906499999999999, 0.011430000000000051, 0.06649999999999999, 0.010465000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.017244999999999844, 0.019320000000000115, 0.09798000000000001, 0.016460000000000002, 1.3877787807814457e-17, 0.00917]]","[[6], [5]]",6
7,"[[""1.72774610155352e9""], [""1.727746101553688e9""]]","[[""1.727746101642841e9""], [""1.727746101795245e9""]]","[[0.08932113647460938], [0.24155688285827637]]",0.24155688285827637,0.008095026016235352,0.24965190887451172,"[0.015000000000000013, 0.0, 0.997125, 0.992255, -0.0007199999999999984, 0.068485, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.99923, 0.996175, -0.010844999999999997, 0.053314999999999994, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.987905, 0.9810399999999999, 0.006014999999999993, 0.07053500000000001, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0007250000000000867, 0.001794999999999991, 0.005720000000000002, 0.024015, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0007699999999999374, 0.0012449999999999406, 0.015845, 0.01906499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0019049999999999345, 0.003170000000000117, 0.008984999999999993, 0.020235000000000017, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0007249999999999757, 0.001794999999999991, 0.0057199999999999985, 0.024014999999999995, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0007700000000000484, 0.0012450000000000516, 0.015844999999999998, 0.019065000000000006, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0019050000000000455, 0.003169999999999895, 0.008985000000000007, 0.02023499999999999, 1.3877787807814457e-17, 0.00917]]","[[7], [6]]",7
8,"[[""1.727746101803979e9""], [""1.727746101804127e9""]]","[[""1.727746101893094e9""], [""1.727746102045381e9""]]","[[0.08911514282226562], [0.24125409126281738]]",0.24125409126281738,0.011922836303710938,0.2531769275665283,"[0.015000000000000013, 0.0, 0.9996599999999999, 0.99654, 0.043059999999999994, 0.04341, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 1.001415, 0.9986799999999999, 0.020315, 0.03842500000000001, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.99439, 0.9880650000000001, 0.055349999999999996, 0.041194999999999996, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.003909999999999858, 0.0034600000000000186, 0.038060000000000004, 0.012419999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00299499999999997, 0.0013199999999998768, 0.015315000000000002, 0.017405000000000007, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005610000000000004, 0.005385000000000084, 0.04035, 0.024634999999999997, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.003910000000000191, 0.0034600000000000186, 0.03806, 0.01242, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.002995000000000081, 0.0013200000000000989, 0.015314999999999999, 0.01740499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005610000000000004, 0.005384999999999973, 0.04035, 0.024635000000000004, 1.3877787807814457e-17, 0.00917]]","[[8], [7]]",8
9,"[[""1.727746102058374e9""], [""1.727746102058578e9""]]","[[""1.727746102172967e9""], [""1.727746102304987e9""]]","[[0.1145930290222168], [0.24640893936157227]]",0.24640893936157227,0.008474111557006836,0.2548830509185791,"[0.015000000000000013, 0.0, 1.000685, 0.998075, 0.045695, 0.036930000000000004, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 1.00035, 0.99708, 0.028205, 0.038, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.99542, 0.9896050000000001, 0.058835, 0.03644499999999999, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0028850000000000264, 0.0019250000000000655, 0.040694999999999995, 0.018900000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0040600000000000636, 0.0029199999999999227, 0.023204999999999996, 0.01783, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0045799999999999175, 0.0038450000000000983, 0.043835, 0.02938499999999999, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0028850000000000264, 0.0019249999999999545, 0.040695, 0.018899999999999993, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0040599999999999525, 0.0029200000000000337, 0.023205, 0.01783, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0045800000000000285, 0.0038449999999999873, 0.043835, 0.02938500000000001, 1.3877787807814457e-17, 0.00917]]","[[9], [8]]",9
10,"[[""1.727746102314274e9""], [""1.727746102314449e9""]]","[[""1.727746102402773e9""], [""1.727746102565116e9""]]","[[0.08849883079528809], [0.25066685676574707]]",0.25066685676574707,0.009040117263793945,0.259706974029541,"[0.015000000000000013, 0.0, 1.000285, 0.9974749999999999, 0.026559999999999997, 0.042414999999999994, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9989450000000001, 0.9949749999999999, 0.020115, 0.04546, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9954200000000002, 0.9896100000000001, 0.038255, 0.047625, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0032850000000000934, 0.0025249999999998884, 0.021560000000000006, 0.013414999999999993, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005465000000000053, 0.005024999999999946, 0.015114999999999996, 0.010369999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0045800000000001395, 0.0038400000000000656, 0.023255000000000005, 0.018205, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0032849999999999824, 0.0025250000000001105, 0.021559999999999996, 0.013415000000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005464999999999942, 0.005025000000000057, 0.015115, 0.010369999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0045799999999998064, 0.0038399999999999546, 0.023254999999999998, 0.018205, 1.3877787807814457e-17, 0.00917]]","[[10], [9]]",10
