Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.728334292836156e9""], [""1.728334292836361e9""]]","[[""1.728334299778721e9""], [""1.728334299786205e9""]]","[Float64[], Float64[]]","[[1.0], [1.0]]",1.0,0.19953489303588867,1.1995348930358887,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.728334299986071e9""], [""1.728334299986283e9""]]","[[""1.728334300301422e9""], [""1.728334300120437e9""]]","[[0.03094], [0.07595]]","[[0.3153510093688965], [0.1341538429260254]]",0.3153510093688965,0.002550840377807617,0.3179018497467041,"[0.015000000000000213, 0.009170000000000211, 0.9789050000000002, 0.9600250000000002, 0.3977150000000002, 0.14776500000000023, 0.015000000000000213, 0.009170000000000211, 0.015000000000000213, 0.009170000000000211, 0.9798650000000003, 0.9605900000000002, 0.3241500000000002, 0.17158500000000024, 0.015000000000000213, 0.009170000000000211, 0.015000000000000213, 0.009170000000000211, 0.9846800000000002, 0.9642350000000003, 0.41949000000000025, 0.08951000000000021, 0.015000000000000213, 0.009170000000000211]","[[2.1337098754514727e-16, 2.1163626406917047e-16, 0.04354500000000028, 0.05752500000000027, 0.39271499999999976, 0.07359499999999977, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04468500000000031, 0.0580900000000002, 0.31914999999999977, 0.09741499999999978, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04935000000000023, 0.06173500000000032, 0.4044899999999998, 0.005339999999999789, 2.1337098754514727e-16, 2.1163626406917047e-16], [2.1337098754514727e-16, 2.1163626406917047e-16, 0.043544999999999834, 0.057524999999999715, 0.3927150000000002, 0.07359500000000023, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04468499999999975, 0.058089999999999864, 0.3191500000000002, 0.09741500000000024, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04934999999999978, 0.06173499999999976, 0.40449000000000024, 0.00534000000000022, 2.1337098754514727e-16, 2.1163626406917047e-16]]","[[1], [1]]",1
3,"[[""1.728334300304185e9""], [""1.728334300304332e9""]]","[[""1.728334300399805e9""], [""1.728334300440284e9""]]","[[0.03034], [0.07412]]","[[0.09562015533447266], [0.13595199584960938]]",0.13595199584960938,0.002454996109008789,0.13840699195861816,"[0.015, 0.009165, 0.992285, 0.9867949999999999, 0.0026299999999999935, 0.07717999999999998, 0.015, -4.999999999998166e-6, 0.015, 0.009165, 0.9923849999999999, 0.9856750000000001, 0.0024150000000000005, 0.07445499999999998, 0.015, -4.999999999998166e-6, 0.015, 0.009165, 0.99535, 0.990485, 0.011384999999999978, 0.06255, 0.015, -4.999999999998166e-6]","[[0.0, 4.999999999999796e-6, 4.500000000007276e-5, 0.0011650000000000826, 0.0023699999999999936, 0.015319999999999986, 0.0, 0.009164999999999998, 0.0, 4.999999999999796e-6, 0.0009049999999998226, 0.0012849999999998696, 0.0025850000000000005, 0.018044999999999978, 0.0, 0.009164999999999998, 0.0, 4.999999999999796e-6, 0.004649999999999932, 0.004934999999999912, 0.0036149999999999785, 0.0032799999999999913, 0.0, 0.009164999999999998], [0.0, 4.999999999999796e-6, 4.499999999996174e-5, 0.0011649999999998606, 0.0023700000000000066, 0.015320000000000014, 0.0, 0.009165000000000001, 0.0, 4.999999999999796e-6, 0.0009050000000001557, 0.0012850000000000916, 0.0025849999999999996, 0.01804500000000002, 0.0, 0.009165000000000001, 0.0, 4.999999999999796e-6, 0.004650000000000043, 0.004935000000000023, 0.003615000000000021, 0.003280000000000005, 0.0, 0.009165000000000001]]","[[2], [2]]",2
4,"[[""1.728334300442923e9""], [""1.728334300443059e9""]]","[[""1.7283343005362e9""], [""1.728334300580209e9""]]","[[0.03031], [0.08219]]","[[0.0932769775390625], [0.13715004920959473]]",0.13715004920959473,0.0022161006927490234,0.13936614990234375,"[0.015, 0.009165000000000001, 1.00891, 1.0090150000000002, -0.191615, 0.055025, 0.015, -0.009165, 0.015, 0.009165000000000001, 1.00676, 1.004635, -0.15489, 0.04028, 0.015, -0.009165, 0.015, 0.009165000000000001, 1.0109199999999998, 1.014, -0.18910500000000005, 0.052500000000000005, 0.015, -0.002705]","[[0.0, 4.9999999999980616e-6, 0.005959999999999965, 0.01275499999999985, 0.196615, 0.037114999999999995, 0.0, 4.999999999999796e-6, 0.0, 4.9999999999980616e-6, 0.0041999999999999815, 0.011535000000000073, 0.15989, 0.05222, 0.0, 4.999999999999796e-6, 0.0, 4.9999999999980616e-6, 0.008080000000000087, 0.014000000000000012, 0.20410499999999995, 0.0004200000000000037, 0.0, 0.006455], [0.0, 5.000000000001531e-6, 0.005959999999999965, 0.012755000000000183, 0.196615, 0.037115, 0.0, 4.999999999999796e-6, 0.0, 5.000000000001531e-6, 0.004200000000000204, 0.011534999999999962, 0.15989, 0.052219999999999996, 0.0, 4.999999999999796e-6, 0.0, 5.000000000001531e-6, 0.008079999999999865, 0.014000000000000012, 0.20410500000000004, 0.00041999999999999676, 0.0, 0.006455]]","[[3], [3]]",3
5,"[[""1.728334300582618e9""], [""1.728334300582778e9""]]","[[""1.728334300669449e9""], [""1.728334300728371e9""]]","[[0.02513], [0.08]]","[[0.08683109283447266], [0.14559292793273926]]",0.14559292793273926,0.0022361278533935547,0.1478290557861328,"[0.015, 0.009165, 1.01108, 1.01236, -0.189995, 0.041569999999999996, 0.015, -0.009170000000000001, 0.015, 0.009165, 1.007855, 1.007155, -0.15573499999999998, 0.02751, 0.015, -0.008665, 0.015, 0.009165, 1.0178700000000003, 1.02071, -0.18727500000000002, 0.047615000000000005, 0.015, -0.0007500000000000002]","[[0.0, 4.999999999999796e-6, 0.002610000000000001, 0.007640000000000091, 0.194995, 0.014259999999999995, 0.0, 1.734723475976807e-18, 0.0, 4.999999999999796e-6, 0.0004249999999998977, 0.003714999999999913, 0.160735, 0.02732, 0.0, 0.0005049999999999985, 0.0, 4.999999999999796e-6, 0.0040399999999998215, 0.011649999999999938, 0.20227499999999998, 0.005145000000000004, 0.0, 0.004659999999999999], [0.0, 4.999999999999796e-6, 0.002610000000000001, 0.007639999999999869, 0.194995, 0.014260000000000002, 0.0, 1.734723475976807e-18, 0.0, 4.999999999999796e-6, 0.0004250000000001197, 0.003714999999999913, 0.160735, 0.027319999999999997, 0.0, 0.0005050000000000002, 0.0, 4.999999999999796e-6, 0.004040000000000266, 0.011649999999999938, 0.20227500000000004, 0.005144999999999997, 0.0, 0.004660000000000001]]","[[4], [4]]",4
6,"[[""1.728334300730783e9""], [""1.728334300730908e9""]]","[[""1.72833430081635e9""], [""1.728334300870252e9""]]","[[0.02527], [0.07648]]","[[0.08556699752807617], [0.1393439769744873]]",0.1393439769744873,0.0021500587463378906,0.1414940357208252,"[0.015, 0.009165, 1.0069050000000002, 1.00637, -0.09276999999999999, 0.03669000000000001, 0.015, -0.004409999999999998, 0.015, 0.009165, 1.0044600000000001, 1.003405, -0.075435, 0.024879999999999996, 0.015, 0.0, 0.015, 0.009165, 1.0128499999999998, 1.01234, -0.08642999999999998, 0.041944999999999996, 0.015, 0.004145]","[[0.0, 4.999999999999796e-6, 0.0011950000000000571, 0.0016499999999999293, 0.09777, 0.009630000000000007, 0.0, 0.004760000000000001, 0.0, 4.999999999999796e-6, 0.0027200000000000557, 0.0010550000000000281, 0.080435, 0.012619999999999996, 0.0, 0.00917, 0.0, 4.999999999999796e-6, 0.004049999999999887, 0.00035999999999991594, 0.10143000000000002, 0.007634999999999996, 0.0, 0.0029450000000000006], [0.0, 4.999999999999796e-6, 0.001194999999999835, 0.0016499999999999293, 0.09777, 0.009629999999999993, 0.0, 0.004759999999999998, 0.0, 4.999999999999796e-6, 0.0027199999999998337, 0.001054999999999806, 0.080435, 0.012620000000000003, 0.0, 0.00917, 0.0, 4.999999999999796e-6, 0.004050000000000109, 0.00035999999999991594, 0.10142999999999998, 0.007635000000000003, 0.0, 0.0029449999999999997]]","[[5], [5]]",5
7,"[[""1.728334300872578e9""], [""1.728334300872695e9""]]","[[""1.728334300956363e9""], [""1.728334301018377e9""]]","[[0.02978], [0.07853]]","[[0.0837850570678711], [0.14568209648132324]]",0.14568209648132324,0.0024139881134033203,0.14809608459472656,"[0.015, 0.009165, 1.0024899999999999, 1.00047, 0.002695000000000003, 0.03074, 0.015, -0.0005500000000000001, 0.015, 0.009165, 1.0025, 1.00056, 0.003250000000000003, 0.025140000000000003, 0.015, 0.004835, 0.015, 0.009165, 1.0054699999999999, 1.001965, 0.012879999999999996, 0.033885, 0.015, 0.009104999999999999]","[[0.0, 4.999999999999796e-6, 0.004649999999999932, 0.004249999999999976, 0.002305000000000003, 0.008209999999999999, 0.0, 0.00827, 0.0, 4.999999999999796e-6, 0.003869999999999929, 0.0028799999999998827, 0.0017500000000000029, 0.012360000000000003, 0.0, 0.004335, 0.0, 4.999999999999796e-6, 0.008559999999999901, 0.0070949999999999624, 0.002119999999999995, 0.013614999999999999, 0.0, 6.499999999999909e-5], [0.0, 4.999999999999796e-6, 0.004650000000000043, 0.004250000000000087, 0.002304999999999997, 0.008209999999999999, 0.0, 0.00827, 0.0, 4.999999999999796e-6, 0.00387000000000004, 0.0028800000000002157, 0.0017499999999999972, 0.012359999999999996, 0.0, 0.0043349999999999994, 0.0, 4.999999999999796e-6, 0.008560000000000123, 0.0070950000000000735, 0.002120000000000004, 0.013615000000000002, 0.0, 6.500000000000082e-5]]","[[6], [6]]",6
8,"[[""1.728334301020965e9""], [""1.728334301021078e9""]]","[[""1.728334301114916e9""], [""1.728334301160227e9""]]","[[0.02436], [0.08179]]","[[0.09395098686218262], [0.13914895057678223]]",0.13914895057678223,0.0022430419921875,0.14139199256896973,"[0.015, 0.009164999999999998, 0.9995350000000001, 0.9966, 0.05119499999999999, 0.030855, 0.015, 0.00624, 0.015, 0.009164999999999998, 1.000585, 0.997755, 0.043504999999999995, 0.030324999999999998, 0.015, 0.00917, 0.015, 0.009164999999999998, 1.0000650000000002, 0.9946200000000002, 0.06284, 0.034480000000000004, 0.015, 0.009170000000000001]","[[0.0, 5.000000000001531e-6, 0.005735000000000046, 0.006440000000000001, 0.046195000000000014, 0.006645000000000002, 0.0, 0.00293, 0.0, 5.000000000001531e-6, 0.005475000000000008, 0.005354999999999999, 0.038505000000000005, 0.007174999999999997, 0.0, 0.0, 0.0, 5.000000000001531e-6, 0.010785000000000156, 0.011190000000000144, 0.04784000000000001, 0.013020000000000004, 0.0, 1.734723475976807e-18], [0.0, 4.9999999999980616e-6, 0.005735000000000046, 0.00643999999999989, 0.04619499999999999, 0.006644999999999998, 0.0, 0.0029299999999999994, 0.0, 4.9999999999980616e-6, 0.005474999999999897, 0.005354999999999999, 0.038505, 0.007175000000000001, 0.0, 0.0, 0.0, 4.9999999999980616e-6, 0.010784999999999823, 0.011189999999999922, 0.047839999999999994, 0.013019999999999997, 0.0, 1.734723475976807e-18]]","[[7], [7]]",7
9,"[[""1.728334301162642e9""], [""1.728334301162757e9""]]","[[""1.728334301249566e9""], [""1.72833430130056e9""]]","[[0.02243], [0.07594]]","[[0.08692407608032227], [0.1378030776977539]]",0.1378030776977539,0.0030601024627685547,0.14086318016052246,"[0.015, 0.009165000000000001, 0.9982500000000001, 0.995135, 0.05212, 0.034039999999999994, 0.015, 0.009169999999999998, 0.015, 0.009165000000000001, 0.998205, 0.9949600000000001, 0.044344999999999996, 0.035339999999999996, 0.015, 0.00917, 0.015, 0.009165000000000001, 0.99615, 0.9902, 0.0632, 0.039514999999999995, 0.015, 0.009169999999999998]","[[0.0, 4.9999999999980616e-6, 0.0051800000000000734, 0.006064999999999987, 0.047119999999999995, 0.0034599999999999943, 0.0, 1.734723475976807e-18, 0.0, 4.9999999999980616e-6, 0.004744999999999999, 0.0050400000000000444, 0.039345000000000005, 0.0021599999999999953, 0.0, 0.0, 0.0, 4.9999999999980616e-6, 0.008889999999999953, 0.00979999999999992, 0.04819999999999999, 0.007984999999999992, 0.0, 1.734723475976807e-18], [0.0, 5.000000000001531e-6, 0.005179999999999962, 0.006065000000000098, 0.04712, 0.0034600000000000047, 0.0, 1.734723475976807e-18, 0.0, 5.000000000001531e-6, 0.004744999999999999, 0.005039999999999933, 0.039345, 0.002160000000000002, 0.0, 0.0, 0.0, 5.000000000001531e-6, 0.008889999999999953, 0.009800000000000031, 0.04820000000000001, 0.007985000000000006, 0.0, 1.734723475976807e-18]]","[[8], [8]]",8
10,"[[""1.728334301303862e9""], [""1.72833430130401e9""]]","[[""1.728334301394293e9""], [""1.728334301440934e9""]]","[[0.02247], [0.07551]]","[[0.09043097496032715], [0.13692402839660645]]",0.13692402839660645,0.003010988235473633,0.13993501663208008,"[0.015, 0.009165, 0.9983749999999999, 0.9956150000000001, 0.028829999999999995, 0.037045, 0.015, 0.009170000000000001, 0.015, 0.009165, 0.9970600000000001, 0.99377, 0.025004999999999993, 0.038450000000000005, 0.015, 0.00917, 0.015, 0.009165, 0.99427, 0.98864, 0.039029999999999995, 0.045145000000000005, 0.015, 0.009170000000000001]","[[0.0, 4.999999999999796e-6, 0.003854999999999942, 0.004385000000000083, 0.023830000000000004, 0.000455000000000004, 0.0, 1.734723475976807e-18, 0.0, 4.999999999999796e-6, 0.003750000000000031, 0.0040800000000000836, 0.02000500000000001, 0.0009499999999999925, 0.0, 0.0, 0.0, 4.999999999999796e-6, 0.005730000000000013, 0.006319999999999992, 0.02403000000000001, 0.002355000000000003, 0.0, 1.734723475976807e-18], [0.0, 4.999999999999796e-6, 0.003855000000000053, 0.004384999999999861, 0.023829999999999994, 0.0004549999999999971, 0.0, 1.734723475976807e-18, 0.0, 4.999999999999796e-6, 0.00374999999999992, 0.0040799999999999725, 0.02000499999999999, 0.0009500000000000064, 0.0, 0.0, 0.0, 4.999999999999796e-6, 0.005730000000000013, 0.006319999999999992, 0.024029999999999996, 0.002354999999999996, 0.0, 1.734723475976807e-18]]","[[9], [9]]",9
